,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.008701244990030924,0.0011716179813271385,4.6488737265268965,0.18606653151638075,4,{'n_neighbors': 4},0.7122222222222222,0.7222222222222222,0.7147222222222223,0.716388888888889,0.0042491829279939835,9
1,0.008598883946736654,0.00037814400933892207,4.9963875611623125,0.6695746629322397,8,{'n_neighbors': 8},0.7752777777777777,0.7747222222222222,0.7788888888888889,0.7762962962962963,0.00184721642067222,8
2,0.009482065836588541,0.0009268384057132474,4.5807638963063555,0.592293601409473,12,{'n_neighbors': 12},0.7944444444444444,0.7947222222222222,0.7983333333333333,0.7958333333333334,0.0017714005990471446,7
3,0.008288304011027018,0.0006059808731078268,5.244482755661011,0.3488281433783699,16,{'n_neighbors': 16},0.8041666666666667,0.8080555555555555,0.8016666666666666,0.8046296296296296,0.0026287165864034017,6
4,0.022362232208251953,0.0026648660587937213,4.134635925292969,0.4167416453785267,20,{'n_neighbors': 20},0.8066666666666666,0.8108333333333333,0.8088888888888889,0.8087962962962963,0.0017022941028564977,5
5,0.018118858337402344,0.004531478177525309,4.503254652023315,0.4007442064929578,24,{'n_neighbors': 24},0.8072222222222222,0.8177777777777778,0.8097222222222222,0.8115740740740741,0.004503846854450151,3
6,0.016843001047770183,0.0027594079391695843,4.388747692108154,0.2927303082102009,28,{'n_neighbors': 28},0.8058333333333333,0.8183333333333334,0.8152777777777778,0.8131481481481481,0.005320651073540263,1
7,0.02666163444519043,0.00877948056440803,4.288244406382243,0.19301363288666265,32,{'n_neighbors': 32},0.8075,0.8161111111111111,0.8141666666666667,0.8125925925925926,0.003687464398470358,2
8,0.024091402689615887,0.007248971821460121,2.1069756348927817,0.31903057046861355,36,{'n_neighbors': 36},0.8022222222222222,0.8136111111111111,0.8119444444444445,0.8092592592592592,0.005022241341600243,4
